课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩
生死教育,通识选修课（公选课）,科学精神与生命关怀,朱俊勇,老师教授很有意义引人深思,论文作业，提问，回答,期末考核，论文，作业,90
图灵奖与科学精神,通识选修课（公选课）,科学精神与生命关怀,黄文斌,特别好给分很高，老师也很好,签到少，提问不多，小组展示有点多，有一些作业,写一篇获奖感言，还有一个个人展示,97
程序设计实践,专业课程,非公选课,尹凡,避坑！上课啥也不讲，你不会还疯狂打击！给分也不好,不点名，要签到，作业搞的GPS问卷数据读取, 课程实践报告，记录代码性能啥的,70
知识论经典问题,通识选修课（公选课）,中华文化与世界文明,潘磊,知识很硬核，属于哲学的专业研究方向，纯哲学不带意识形态,无考勤，无作业，但需要认真听，很硬核,考试结课，闭卷，需要认真思考,83
素质体育1,体育课,非公选课,刘涛,教了太极拳，刘涛老师真的很为学生着想，只要能不麻烦学生他就不会麻烦学生，给分也是尽量往高了给。,有时考勤有时不考，感觉看心情。平时没事,考太极拳，只要认真学了上90都没有问题的，不认真学感觉也不会低,95
自然资源导论,专业课程,非公选课,方荣新,平时讲ppt，偶尔签到，点名,几次平时作业，偶尔签到，点名,期末闭卷考试，会给考试原题，答案ppt里完全有,97
R,专业课程,非公选课,tb,内容好，讲得就那样，老师不是很会,多，有考勤，凑够10字字字,上机考试，上机考试10个字,86
大学物理D,公共课（高数、线代、大物和思政课等）,非公选课,曹立民,老师喜欢拖堂，平时事情很多，还有期末集体复习,基本每节课都会签到，抽人提问，要是一节课没去，那么以后节节课都会提问你,闭卷考试，与往年重合度高,91
自然地理,通识选修课（公选课）,科学精神与生命关怀,代老师,主要讲的是一些比较基础的自然地理知识，高中学地理的话学起来可能比较轻松，老师讲课还行，但是给分不太友好,有签到，偶尔提问，两次平时作业，第一次是参观岩石标本教室，拍照并且提交报告，这个不难，但是很花时间，第二次是观看2h的视频，回答问题，提交word文档。,交一篇结课论文，讲述自己家乡有关的自然地理，字数要求忘了，好像是不超过5k。,86
离散数学,专业课程,非公选课,刘纪平,人挺好，不怎么为难人,纸质签到，期中测试很简单,考试结课，严格来说只要写满分数不会太差,95
大学英语2,英语课,非公选课,张明尧,英语口语易听懂，很少额外布置作业，不考勤,无签到，无pre，但上课会点人回答问题，答不对也没关系,期中期末闭卷考试口语考试,81
大学生心理健康,通识必修课（导引课）,非公选课,李杰,大学生心理健康教育，，，，，,考试结课因为疫情改为论文结课,考试结课，开卷考试，，，,91
东方电影与东方文化,通识选修课（公选课）,艺术体验与审美鉴赏,黄献文,课上放经典电影片段，很有意思,无签到，无提问，无pre，平常就是看看电影,开卷写影评，老师现场选定电影（在平常重点提到的电影里选）,92
国际礼仪,通识选修课（公选课）,中华文化与世界文明,李晶,国际礼仪相关内容，国际形势这些,几乎不考勤，任务也没什么,两道八百字的论述题，开卷,90
离散数学,专业课程,非公选课,张丽华,老师人很好 讲课虽然有点ppt但是比较细致,期中考试 几乎开卷 不计成绩 平时会提问但是比较简单,按照学校要求统一闭卷考试,96
新时代中国特色外交,通识选修课（公选课）,中华文化与世界文明,赵嵘,老师人不错 挺和善的,考勤有点多 花样有点多 但可以接受,开卷考试结课 自己提前准备资料,96
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,就是讲黄河的历史，老师人挺好,平时有两次小感想，纸质签到,期末论文结课，不查重,96
中国近代史纲要,公共课（高数、线代、大物和思政课等）,非公选课,谭卫元,老师边海院的，人很厉害，课就差点意思。做个任务多,3分钟扫码签到，不能翘课,学校统一组织期末考试,90
中国近代史纲要,公共课（高数、线代、大物和思政课等）,非公选课,谭卫元,老师边海院的，人很厉害，课就差点意思。做个任务多,3分钟扫码签到，不能翘课,学校统一组织期末考试,90
戏剧影视经典导引,专业课程,非公选课,薛峰,介绍改国内外电影等相关知识,不考勤 无作业 也没有提问,写影评，要求不是很高,93
中国近代史纲要,公共课（高数、线代、大物和思政课等）,非公选课,谭卫元,老师边海院的，人很厉害，课就差点意思。做个任务多,3分钟扫码签到，不能翘课,学校统一组织期末考试,90
马克思主义基本原理,公共课（高数、线代、大物和思政课等）,非公选课,龚玉敏,老师为人亲切，讲解很清楚详细，给分也好,平时会签到，有小视频或研究报告，还需要写几条摘录,闭卷考试，全是大题，一般背了基本原理再编一下分析就可以写满,92
实验室安全哲学与应急实践,通识选修课（公选课）,科学精神与生命关怀,廖冬梅,各种实验室安全以及实例,无考勤无作业，挺轻松的,我们那次是拍个5分钟实验室视频就行了,95
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,关于宇宙的认识，上课很幽默风趣！,无作业            ,开卷考               ,90
中医养生概论,通识选修课（公选课）,科学精神与生命关怀,宋恩峰,老师很好，课也很有意思,                       都没有,只用写论文，1000字,90
大学英语2,英语课,非公选课,陶峻,老师课程设置相当完美，能锻炼很多种英语能力。,签到，清华社测试，不用做视听说，welearn。,正常全校统一的期末考试。,85
篮球2,体育课,非公选课,殷涛,课上会讲一些基本的投篮上篮以及团队配合,不定时签到，有分组全场比赛，打赢了有加分,绕篮球场三步上篮和一分钟投篮,91
航空航天概论,通识选修课（公选课）,科学精神与生命关怀,吴琼水,老师讲课认真，不提问，和蔼可亲,没有签到，有课后当堂题目（不多）,考试或者论文（学生自选）,86
素质体育2,体育课,非公选课,李浩冉,这学期是学篮球和排球，最后选一个考，内容都不算难，老师人挺好的，给分很透明,管的不严，但每节课要点名,篮球排球二选一，选好的那个成绩,88
核能及其应用,通识选修课（公选课）,科学精神与生命关怀,余亮英,老师人真的很好，内容不会很枯燥,签到、PPT（不需要展示）、论文,只需要写论文（可能2000-3000字）,93
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,冯慧,平时分不按签到来，老师最后会捞，但是上课水平一般,无签到考勤，作业可交可不交，老师最后凭成绩给平时分,期末考试，平时分根据期末考试高低给,86
高等数学C,公共课（高数、线代、大物和思政课等）,非公选课,汪春晖,老师讲得很不错但是声音很小,偶尔有签到，每节课要现场交作业,考试+平时成绩，但是期末要是考到九十以上就不用管平时成绩啦,94
中国民族民间舞,通识选修课（公选课）,艺术体验与审美鉴赏,孟晓丽,中国民族民间舞的起源和动作,偶尔会签到，没有提问，偶尔有展示,把课程所学的舞蹈选择四个跳一遍,93
诺贝尔生理或医学奖,通识选修课（公选课）,科学精神与生命关怀,刘永明,老师人很好，很负责  主要就讲诺贝尓生医奖的相关内容,有签到，有一次不签到不用来的机会    无提问    有一次小组展示  论文结课,论文结课，老师人很好，会捞的,92
篮球2,体育课,非公选课,杨跃青,老师人很好，教的东西很实用，想要学更多技巧主动问老师老师会教,每节课上课点名，平时上课就上考试要考的,考试就考试V字折返上篮和定点投篮,98
无,通识选修课（公选课）,中华文化与世界文明,11,1.14245E+17,1.15554E+17,5.43455E+13,6685
体育旅游,通识选修课（公选课）,艺术体验与审美鉴赏,张力,老师人很好说话，内容不硬核,有限制名额的个人展示，期末是小论文好像？但是很简单，基本有展示就能90+,结课论文，说自己的“体育旅游”经历,94
简明中国史,公共课（高数、线代、大物和思政课等）,非公选课,魏斌,中国古代历史，简明有趣,无签到，无平时作业，无小组展示,最后几节上网课签到线上考试,97
公共管理大数据分析,专业课程,非公选课,傅征,平时老师会讲和大数据有关的知识，还有关于spss、python等上机课程，可能文科听起来会有点难度，但其实不听也影响不大,每节课有签到，期末考试有三十分是靠平时回答问题获得，但问题比较简单，展示没有，论文要求比较高，但认真写给分也还行（不高），论文是水不了的，噢噢如果是上机的话课后还有上级报告，总的来说这门课平时辛苦一点比考试闭卷还是要好一点,论文结课，期末还会布置上机报告,90
