课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
线性代数B,康肖松,线性代数相关知识与拓展,老师非常好 强烈安利,不考勤 每周一次作业 期末闭卷考试,91
大学生心理健康,何姣,心理常识，比如人格心理咨询之类,给分略偏低，课后作业多,本来是考试，疫情改论文了,88
大学生心理健康,曲晓艳,心理健康，一些心理相关知识,给分还可以，课堂挺有趣，每节课要签到,原来应该是考试，但是因疫情改成了论文,
大学生心理健康,马鑫,心理健康的相关知识，与课本一致,马老师是我们的好伙伴，很亲切，要注意平时分占比很大,考勤点名但很宽松，平时两次影评期末论文,90
大学生心理健康,王志云,心理健康方面的知识，，，,老师人很和蔼，平时上课做什么不大管所以可以尽情摸鱼（，期末可以提问题老师会帮忙复习，基本有问必答，上课体验很好  ,好像每节课都会用学习通进行考勤（？有两次小组作业，老师人很好，还和同学们商量了以什么方式分组；期末原定是开卷考，因为封楼改成了论文结课，以后应该都是开卷考叭,91
大学生心理健康,秦华勇,心理健康和人生观价值观世界观,老师人很好也很和善讲的好,六平时四期末 期末考试形式,92
大学生心理健康,李茜,心理健康书上的内容，还有一些属什么没有的,挺水的，老师人很好很好，期末按考纲走就行了,本来是开卷考试，后改成论文,93
大学生心理健康,何老师,心理健康相关，大部分是死知识，但还是能学到一些有用的,老师很温柔，讲课比较有趣,基本不考勤 四次平时作业，有些课上完成，期末写论文,91
大学生心理健康,曲晓艳,心理健康相关的内容和方法,非常好的心理老师，内容深入浅出,进行考勤，两次小组作业，由于疫情论文结课,92
大学生心理健康,张文娟,心理健康相关知识           。,好过，也有意思,会点名，有小作业，期末开卷考试。,91
大学生心理健康,章吉,心理健康相关知识，案例分析,老师很温柔，大班课和老师交流不多,每节课有小组互评，平时作业不算多，22级期末因为疫情原因变成写论文了。,88
大学生心理健康,章星波,心理健康知识，看起来高深其实还是初高中那一套,事超级多，总爱整一些没意义的活儿，给分很烂，上课也很无聊，快跑,因为封楼改成论文，正常是开卷考,90
大学心理健康,李杰,心理健康知识，以及一些调节方法,给分挺不错，课很水，老师很好,论文结课，有点名，很少提问,94
大学生心理与健康,李杰,心理学，教育学，人际关系等,事情比较多，给分有些玄学,每节课点名，大部分时候有作业，期末考试为开卷考试（因疫情改成论文）,
大学生心理健康,马鑫,心理学基础内容，学生参与度很高，课程内容也很有意思,老师上课很有意思，给分略低,论文，平时学习通看电影观后感,92
大学生心理健康,张文娟,心理学相关 也讲到了恋爱 性教育,老师很好 给分不错 可以选,两次作业 字数多分就高 字少容易分低 本来应该是考试 疫情变成了论文,
大学生心理健康,程凌,心理知识，心理状态对自己对别人,上交了平时作业，她说没有收到，在23点40发消息通知，说在24点前交给他，感觉被压分了,无考勤，平时有作业，但不多，论文结课,83
大学生心理健康,聂玉秀,心理知识科普，有课本之外的拓展,老师还不错，还算可以吧,每次都要签到，开卷考试改论文结课,89
程序设计A,高戈,学c++面向对象编程，学用vs编程,没基础的完全听不懂，有基础的听了也懵，老师人还可以,考试，有大作业，考勤用遥感院的刷脸机,
基础化学,刘英,学的内容广但不精，考试也是，范围很大，但都是很简单的题,老师严格但耐心负责，不会捞也不会卡,每次都签到，每次都有小测，都计入成绩,93
高等数学C2,冯慧,学习大学生需要掌握的高数知识,老师很好，非常喜欢，有水平！,有正常的作业，考试结课。,
大学生心理健康,章吉,一般，上课没有什么意思,一般，卡我绩，太多签到签不上扣分,有很多签到，三四次作业,80
习概,梅立润,一般习概内容，平时偶尔点名和签到,好。。。。。。。。。。。。。,期末闭卷考试。。。。。。。。。。,80
大学生心理健康,李茜,一些科普性的心理知识，如心理健康，心理疾病，家庭，恋爱等等,老师讲课总体来说比较有趣，而且给分很好，不会卡绩，非常nice,经常考勤，平时有课堂或课后作业不过不多，期末开卷考因疫情改为论文,92
大学生心理健康,尉兆梁,一些心理知识，生涯规划之类,老师是新老师，人很好。但是给分真的不太行）,10次签到，论文结课,82
自然科学导引,石瑛,一周讲课一周pre，pre的那周课前要小测，轮流来,卡绩点，给分不好，平时老师很爱嘲讽,不pre的时候要签到，pre的时候要测试，不能迟到,88
大学英语1,何发兵,英语。。。。。。。。。,上面的成绩还没出，真的事多,事真的多，千万别来。,0
英语电影与文化,谢小红,英语电影赏析，每个电影一个问题,老师很好，我旁边一个哥们儿明着抄老师没管,平时，演讲拍视频和PPT,
大学英语,付莺莺,英语书上的内容以及一些补充,老师人很好，给分一般,考试，和其他的差不多,87
英语演讲与辩论,刘莹,英语演讲相关内容，我们上的时候辩论的好像没太涉及,这是我唯一英语过90的课，所以极力推荐！,平时有三次pre，期末有个考试，考试没有听力，内容都是书上的，比较简单,91
高级英语,黄承英,英语英语英语快班上的课,真的无聊别来别来老师事多,考试口语和笔试都有涉及,
大学英语3,刘红,英语英语英语英语英语英语,快跑快跑啊啊啊啊啊啊啊啊啊啊！！！！！！！,偶尔点名，平时预习作业，有小组讨论展示，期末笔试加口语考试,80
有机化学,陈素明,有机化学 滴定分析之类,讲得还可以 就是让人想睡觉,有签到 期末分占一部分 平时分也有,
大学英语1,李加莉,正常上课内容，大英1,作业极其的多，真的很累，但课上比较水,有pre，期中考，期末考，口语,
中国近现代史纲要,宋俭,中国近现代史，在中学学过的内容上有很多补充。,只能说碰到宋俭就快跑，分低得离谱，而且老师很难说话，可能年龄大了成就也高人也不是很care学生怎么想…,一次pre，一个报告，期末闭卷考试。考勤很严，签到很难混，而且老师会记住学生。。,70
中国近现代史纲要,宋俭,中国近现代史，在中学学过的内容上有很多补充。,只能说碰到宋俭就快跑，分低得离谱，而且老师很难说话，可能年龄大了成就也高人也不是很care学生怎么想…,一次pre，一个报告，期末闭卷考试。考勤很严，签到很难混，而且老师会记住学生。。,
中国近现代史纲要,万军杰,中国近现代史课程内容,雷雷雷！快跑！快跑！快跑！,期末-平时-考勤-作业,75
思修,卢丽珠,主要关于思想道德与法治,老师很负责，有耐心解答疑惑,不定期考勤，两次作业,90
大学生心理健康,李茜,主要讲授大学生心理状态与自我调节,老师比较和善，给分比较宽容,随机签到，上课问答较频繁，有课后作业，期末开卷考试,91
高等数学B1,杜光宝,主要讲授的是高等数学B1上的内容,老师人很好，从来不点名。,期中考试是把卷子发下来让我们当作业写，成绩按平时作业的分算,
高级英语B,苏子洲,主要讲授内容是开学买的那几本书的二的六个单元,口语考试是自己准备形式，如果你选择歌唱的话，建议是把伴奏放出来，不然纯听你在那唱的话，效果挺差的，不过是同学们和老师们一起打分，其实倒也还好，我当时是都给打的满分,没有点到，但是小班教学一个班就那么几个人，你不去肯定会被抓到,
大学生心理健康,聂玉秀,主要讲授心理学一些基础理论，最后一次课看一部电影，现在是必修,有点无聊，但老师人很温柔，可能90+不多,每次都有学习通扫码签到，会有两次平时作业，很简单的问答题，期末本来开卷考试，改成了3k字论文,90
大学生心理健康,尉兆梁,主要讲心理课程组自己的ppt，期末考试考ppt＋教材,老师人很好很年轻！也有同学绩点很低，好像是老师打分必须服从正态分布。如果签到，平时作业，期末都认真对待问题不大，如果没做或者糊弄可能就分数不好看（通用于所有老师的心理课）,几乎每节课都要签到（课程组规定的），平时作业是做了两个心理问卷，期末本来是闭卷考试，因为提前遣返改成3000结课论文,87
大英,李芳,主要讲综合教程吧，没有什么拓展,老师很温柔，但说实话要求很松所以不自律很难真正学到东西,不考勤，平时两次pre（大一上）作文2次及以上，多一篇加一分，不考口语,
大学英语1,李加莉,主要就是按课本上课，但是更多时候是叫你起来回答问题，课程形式多样，大多是小组合作,李加莉老师教得很好，就是平时作业比较多事情比较多，上课经常随机抽人起来回答问题，给分还好,次次课考勤，平时作业较多,
